scale_prefix,scale_name,construct,subscale_n,item_suffix,var_name,function,calculation,range
aniq,Awareness of Narrative Identity questionnaire,"Awareness of
narrative identity",4,,aniq_tot,"It measures the awareness of
narrative identity and how globally coherent one’s autobiographical memories are perceived to be",all_item_sum,
aniq,Awareness of Narrative Identity questionnaire,"Awareness of
narrative identity",4,awareness_tot,aniq_awareness_tot,It measures awareness of life stories about the self and the perception of globally coherent personal memories,sum,
aniq,Awareness of Narrative Identity questionnaire,"Awareness of
narrative identity",4,temp_coherence_tot,aniq_temp_coherence_tot,"It measures the ability to accurately perceive the order in which
experiences have occurred over the lifetime to date.",sum,
aniq,Awareness of Narrative Identity questionnaire,"Awareness of
narrative identity",4,causal_coherence_tot,aniq_causal_coherence_tot,"It measures the perception that experiences are
meaningfully associated and that events have causal connections with self-identity. ",sum,
aniq,Awareness of Narrative Identity questionnaire,"Awareness of
narrative identity",4,thematic_coherence_tot,aniq_thematic_coherence_tot,"It measuresthe ability to draw out similarities
between episodes in life, and identify overarching themes
that act as integrated interpretations of these events or circumstances",sum,
perma,PERMA positive and negative Affect,emotion,2,,,It measures general emotion,,
perma,PERMA positive and negative Affect,emotion,2,pos,perma_pos,It measures general tendencies toward feeling contentment and joy,mean,
perma,PERMA positive and negative Affect,emotion,2,neg,perma_neg,"It  measures tendencies toward feeling, sad, anxious, and angry",mean,
pwb,Psychological Well-Being Scale,Psychological Well-being,6,,,It measures eudaimonic well-being(psychological well-being),,
pwb,Psychological Well-Being Scale,Psychological Well-being,6,autonomy_tot,pwb_autonomy_tot,"It measures the individual’s ability to function free from the influence and control of others, to regulate emotions
and behavior from within",sum,
pwb,Psychological Well-Being Scale,Psychological Well-being,6,envmas_tot,pwb_envmas_tot,"It measures s a person’s capacity to
design environments appropriate for their own propensities, the ability to “manipulate and control complex environments” ",sum,
