"var_name","var_class","item_type","ori_name","label"
"userid","character","metadata","userid",NA
"prolific_id","character","metadata","Prolific_ID","What is your Prolific ID? Please note that this response should auto-fill with the correct ID"
"id_check","character","metadata","ID_check","Please confirm your 24 digit Prolific ID by entering it below."
"progress","integer","metadata","Progress","Progress"
"duration__in_seconds_","integer","metadata","Duration__in_seconds_","Duration (in seconds)"
"recordeddate","character","metadata","RecordedDate","Recorded Date"
"responseid","character","metadata","ResponseId","Response ID"
"externalreference","logical","metadata","ExternalReference","External Data Reference"
"consent_confirm","factor","metadata","Consent_confirm","In this study we will ask you to record your voice while answering free-response prompts about your thoughts, feelings, activities, and memories. To confirm that you are eligible to participate, please answer the question below:



Are you willing to let this study record your voice when responding to questions?"
"consent_no","logical","metadata","Consent_no","We appreciate your willingness to participate, unfortunately one or more of your responses or your device settings indicate that you are not eligible to participate in this study. Please close this window and return this study on Prolific so that your account is not penalized by a rejection."
"recording_test","factor","metadata","Recording_test","Using the microphone widget below, please record the following: ""Hello, this is a test recording."" Please make sure to allow access to your device's microphone. After recording, please click on Review Recording to check that you can hear your voice playing back. If you can't hear your voice, please make sure you have allowed access to your microphone, and that your device's volume is on.









You may proceed if you were able to successfully record. Were you able to hear your voice playing back on the recording?"
"demo_gender","factor","demo","Demo_gender",NA
"demo_age","factor","demo","Demo_age",NA
"demo_ethnicity_01","factor","demo_raw","Demo_ethnicity_1",NA
"demo_ethnicity_02","factor","demo_raw","Demo_ethnicity_2",NA
"demo_ethnicity","factor","demo","demo_ethnicity",NA
"demo_ethnicity_04","factor","demo_raw","Demo_ethnicity_4",NA
"demo_ethnicity_05","factor","demo_raw","Demo_ethnicity_5",NA
"demo_ethnicity_06","factor","demo_raw","Demo_ethnicity_6",NA
"demo_ethnicity_07","factor","demo_raw","Demo_ethnicity_7",NA
"demo_ethnicity__99","logical","demo_raw","Demo_ethnicity__99",NA
"demo_education","factor","demo","Demo_education",NA
"demo_marital","factor","demo","Demo_marital",NA
"demo_income","factor","demo","Demo_income",NA
"demo_family","factor","demo","Demo_family",NA
"swls_01","integer","item","SWLS_1","In most ways my life is close to my ideal."
"swls_02","integer","item","SWLS_2","The conditions of my life are excellent."
"swls_03","integer","item","SWLS_3","I am satisfied with my life."
"swls_04","integer","item","SWLS_4","So far I have gotten the important things I want in life."
"swls_05","integer","item","SWLS_5","If I could live my life over, I would change almost nothing."
"perma_01","integer","item","PERMA_1","In general, how often do you feel the following emotions? - Joyful"
"perma_02","integer","item","PERMA_2","In general, how often do you feel the following emotions? - Anxious"
"perma_03","integer","item","PERMA_3","In general, how often do you feel the following emotions? - Positive"
"perma_04","integer","item","PERMA_4","In general, how often do you feel the following emotions? - Angry"
"perma_05","integer","item","PERMA_5","In general, how often do you feel the following emotions? - Sad"
"perma_06","integer","item","PERMA_6","In general, how often do you feel the following emotions? - Content"
"pwb_01","integer","item","PWB_1","I like most parts of my personality."
"pwb_02","integer","item","PWB_2","When I look at the story of my life, I am pleased with how things have turned out so far."
"pwb_03","integer","item","PWB_3","Some people wander aimlessly through life, but I am not one of them."
"pwb_04","integer","item","PWB_4","The demands of everyday life often get me down."
"pwb_05","integer","item","PWB_5","In many ways I feel disappointed about my achievements in life."
"pwb_06","integer","item","PWB_6","Maintaining close relationships has been difficult and frustrating for me."
"pwb_07","integer","item","PWB_7","I live life one day at a time and don't really think about the future."
"pwb_08","integer","item","PWB_8","In general, I feel I am in charge of the situation in which I live."
"pwb_09","integer","item","PWB_9","I am good at managing the responsibilities of daily life."
