"var_name","scale_prefix","item_suffix","var_class","item_type","ori_name"
"userid","userid",NA,"character","metadata","userid"
"progress","progress",NA,"integer","metadata","Progress"
"duration__in_seconds_","duration","_in_seconds_","integer","metadata","Duration__in_seconds_"
"recordeddate","recordeddate",NA,"character","metadata","RecordedDate"
"responseid","responseid",NA,"character","metadata","ResponseId"
"externalreference","externalreference",NA,"logical","metadata","ExternalReference"
"prolific_id","prolific","id","character","metadata","Prolific_ID"
"id_check","id","check","character","metadata","ID_check"
"consent_confirm","consent","confirm","factor","metadata","Consent_confirm"
"consent_no","consent","no","logical","metadata","Consent_no"
"recording_test","recording","test","factor","metadata","Recording_test"
"demo_gender","demo","gender","factor","demo","Demo_gender"
"demo_age","demo","age","factor","demo","Demo_age"
"demo_ethnicity_01","demo","ethnicity_01","factor","demo_raw","Demo_ethnicity_1"
"demo_ethnicity_02","demo","ethnicity_02","factor","demo_raw","Demo_ethnicity_2"
"demo_ethnicity_03","demo","ethnicity_03","factor","demo_raw","Demo_ethnicity_3"
"demo_ethnicity_04","demo","ethnicity_04","factor","demo_raw","Demo_ethnicity_4"
"demo_ethnicity_05","demo","ethnicity_05","factor","demo_raw","Demo_ethnicity_5"
"demo_ethnicity_06","demo","ethnicity_06","factor","demo_raw","Demo_ethnicity_6"
"demo_ethnicity_07","demo","ethnicity_07","factor","demo_raw","Demo_ethnicity_7"
"demo_ethnicity__99","demo","ethnicity__99","logical","demo_raw","Demo_ethnicity__99"
"demo_education","demo","education","factor","demo","Demo_education"
"demo_marital","demo","marital","factor","demo","Demo_marital"
"demo_income","demo","income","factor","demo","Demo_income"
"demo_family","demo","family","factor","demo","Demo_family"
"swls_01","swls","01","integer","item","SWLS_1"
"swls_02","swls","02","integer","item","SWLS_2"
"swls_03","swls","03","integer","item","SWLS_3"
"swls_04","swls","04","integer","item","SWLS_4"
"swls_05","swls","05","integer","item","SWLS_5"
"perma_01","perma","01","integer","item","PERMA_1"
"perma_02","perma","02","integer","item","PERMA_2"
"perma_03","perma","03","integer","item","PERMA_3"
"perma_04","perma","04","integer","item","PERMA_4"
"perma_05","perma","05","integer","item","PERMA_5"
"perma_06","perma","06","integer","item","PERMA_6"
"pwb_01","pwb","01","integer","item","PWB_1"
"pwb_02","pwb","02","integer","item","PWB_2"
"pwb_03","pwb","03","integer","item","PWB_3"
"pwb_04","pwb","04","integer","item","PWB_4"
"pwb_05","pwb","05","integer","item","PWB_5"
"pwb_06","pwb","06","integer","item","PWB_6"
"pwb_07","pwb","07","integer","item","PWB_7"
"pwb_08","pwb","08","integer","item","PWB_8"
"pwb_09","pwb","09","integer","item","PWB_9"
"pwb_10","pwb","10","integer","item","PWB_10"
"pwb_11","pwb","11","integer","item","PWB_11"
"attention01","attention01",NA,"integer","attention_check","Attention1"
"pwb_12","pwb","12","integer","item","PWB_12"
"pwb_13","pwb","13","integer","item","PWB_13"
"pwb_14","pwb","14","integer","item","PWB_14"
"pwb_15","pwb","15","integer","item","PWB_15"
"pwb_16","pwb","16","integer","item","PWB_16"
"pwb_17","pwb","17","integer","item","PWB_17"
"pwb_18","pwb","18","integer","item","PWB_18"
"pwb_00","pwb","00","integer","item","PWB_0"
"aniq_01","aniq","01","integer","item","ANIQ_1"
"aniq_02","aniq","02","integer","item","ANIQ_2"
"aniq_03","aniq","03","integer","item","ANIQ_3"
"aniq_04","aniq","04","integer","item","ANIQ_4"
"aniq_05","aniq","05","integer","item","ANIQ_5"
"aniq_06","aniq","06","integer","item","ANIQ_6"
"aniq_07","aniq","07","integer","item","ANIQ_7"
"aniq_08","aniq","08","integer","item","ANIQ_8"
"aniq_09","aniq","09","integer","item","ANIQ_9"
"aniq_10","aniq","10","integer","item","ANIQ_10"
"aniq_11","aniq","11","integer","item","ANIQ_11"
"aniq_12","aniq","12","integer","item","ANIQ_12"
"aniq_13","aniq","13","integer","item","ANIQ_13"
"aniq_14","aniq","14","integer","item","ANIQ_14"
"aniq_15","aniq","15","integer","item","ANIQ_15"
"aniq_16","aniq","16","integer","item","ANIQ_16"
"aniq_17","aniq","17","integer","item","ANIQ_17"
"aniq_18","aniq","18","integer","item","ANIQ_18"
"aniq_19","aniq","19","integer","item","ANIQ_19"
"aniq_20","aniq","20","integer","item","ANIQ_20"
"aniq_00","aniq","00","integer","item","ANIQ_0"
"wbpro_autonomy","wbpro","autonomy","integer","subscale","WBpro_Autonomy"
"wbpro_clear_thinking","wbpro","clear_thinking","integer","subscale","WBpro_Clear.Thinking"
"wbpro_competence","wbpro","competence","integer","subscale","WBpro_Competence"
"wbpro_emotional_stability","wbpro","emotional_stability","integer","subscale","WBpro_Emotional.Stability"
"wbpro_empathy","wbpro","empathy","integer","subscale","WBpro_Empathy"
"wbpro_engagement","wbpro","engagement","integer","subscale","WBpro_Engagement"
"wbpro_meaning","wbpro","meaning","integer","subscale","WBpro_Meaning"
"wbpro_optimism","wbpro","optimism","integer","subscale","WBpro_Optimism"
"wbpro_positive_emotions","wbpro","positive_emotions","integer","subscale","WBpro_Positive.Emotions"
"attention02","attention02",NA,"integer","attention_check","Attention2"
"wbpro_positive_relationships","wbpro","positive_relationships","integer","subscale","WBpro_Positive.Relationships"
"wbpro_prosocial_behavior","wbpro","prosocial_behavior","integer","subscale","WBpro_Prosocial.Behavior"
"wbpro_resilience","wbpro","resilience","integer","subscale","WBpro_Resilience"
"wbpro_self_acceptance","wbpro","self_acceptance","integer","subscale","WBpro_Self.Acceptance"
"wbpro_self_esteem","wbpro","self_esteem","integer","subscale","WBpro_Self.Esteem"
"wbpro_vitality","wbpro","vitality","integer","subscale","WBpro_Vitality"
"sris12_1","sris12","1","integer","item","SRIS12_1"
"sris12_2","sris12","2","integer","item","SRIS12_2"
"sris12_3","sris12","3","integer","item","SRIS12_3"
"sris12_4","sris12","4","integer","item","SRIS12_4"
"sris12_5","sris12","5","integer","item","SRIS12_5"
"sris12_6","sris12","6","integer","item","SRIS12_6"
"sris12_7","sris12","7","integer","item","SRIS12_7"
"sris12_8","sris12","8","integer","item","SRIS12_8"
"sris12_9","sris12","9","integer","item","SRIS12_9"
"sris12_10","sris12","10","integer","item","SRIS12_10"
"sris12_11","sris12","11","integer","item","SRIS12_11"
"sris12_12","sris12","12","integer","item","SRIS12_12"
"promptnarr_01_confirm","promptnarr","01_confirm","factor","prompt_meta","PromptNarr_1_confirm"
"promptnarr_01_time_first_click","promptnarr","01_time_first_click","numeric","prompt_meta","PromptNarr_1_time_First_Click"
"promptnarr_01_time_last_click","promptnarr","01_time_last_click","numeric","prompt_meta","PromptNarr_1_time_Last_Click"
"promptnarr_01_time_page_submit","promptnarr","01_time_page_submit","numeric","prompt_meta","PromptNarr_1_time_Page_Submit"
"promptnarr_01_time_click_count","promptnarr","01_time_click_count","integer","prompt_meta","PromptNarr_1_time_Click_Count"
"promptnarr_02_confirm","promptnarr","02_confirm","factor","prompt_meta","PromptNarr_2_confirm"
"promptnarr_02_time_first_click","promptnarr","02_time_first_click","numeric","prompt_meta","PromptNarr_2_time_First_Click"
"promptnarr_02_time_last_click","promptnarr","02_time_last_click","numeric","prompt_meta","PromptNarr_2_time_Last_Click"
"promptnarr_02_time_page_submit","promptnarr","02_time_page_submit","numeric","prompt_meta","PromptNarr_2_time_Page_Submit"
"promptnarr_02_time_click_count","promptnarr","02_time_click_count","integer","prompt_meta","PromptNarr_2_time_Click_Count"
"promptnarr_03_confirm","promptnarr","03_confirm","factor","prompt_meta","PromptNarr_3_confirm"
"promptnarr_03_time_first_click","promptnarr","03_time_first_click","numeric","prompt_meta","PromptNarr_3_time_First_Click"
"promptnarr_03_time_last_click","promptnarr","03_time_last_click","numeric","prompt_meta","PromptNarr_3_time_Last_Click"
"promptnarr_03_time_page_submit","promptnarr","03_time_page_submit","numeric","prompt_meta","PromptNarr_3_time_Page_Submit"
"promptnarr_03_time_click_count","promptnarr","03_time_click_count","integer","prompt_meta","PromptNarr_3_time_Click_Count"
"promptnarr_04_confirm","promptnarr","04_confirm","factor","prompt_meta","PromptNarr_4_confirm"
"promptnarr_04_time_first_click","promptnarr","04_time_first_click","numeric","prompt_meta","PromptNarr_4_time_First_Click"
"promptnarr_04_time_last_click","promptnarr","04_time_last_click","numeric","prompt_meta","PromptNarr_4_time_Last_Click"
"promptnarr_04_time_page_submit","promptnarr","04_time_page_submit","numeric","prompt_meta","PromptNarr_4_time_Page_Submit"
"promptnarr_04_time_click_count","promptnarr","04_time_click_count","integer","prompt_meta","PromptNarr_4_time_Click_Count"
"promptnarr_05_confirm","promptnarr","05_confirm","factor","prompt_meta","PromptNarr_5_confirm"
"promptnarr_05_time_first_click","promptnarr","05_time_first_click","numeric","prompt_meta","PromptNarr_5_time_First_Click"
"promptnarr_05_time_last_click","promptnarr","05_time_last_click","numeric","prompt_meta","PromptNarr_5_time_Last_Click"
"promptnarr_05_time_page_submit","promptnarr","05_time_page_submit","numeric","prompt_meta","PromptNarr_5_time_Page_Submit"
"promptnarr_05_time_click_count","promptnarr","05_time_click_count","integer","prompt_meta","PromptNarr_5_time_Click_Count"
"promptwb_01_confirm","promptwb","01_confirm","factor","prompt_meta","PromptWB_1_confirm"
"promptwb_01_time_first_click","promptwb","01_time_first_click","numeric","prompt_meta","PromptWB_1_time_First_Click"
"promptwb_01_time_last_click","promptwb","01_time_last_click","numeric","prompt_meta","PromptWB_1_time_Last_Click"
"promptwb_01_time_page_submit","promptwb","01_time_page_submit","numeric","prompt_meta","PromptWB_1_time_Page_Submit"
"promptwb_01_time_click_count","promptwb","01_time_click_count","integer","prompt_meta","PromptWB_1_time_Click_Count"
"promptwb_02_confirm","promptwb","02_confirm","factor","prompt_meta","PromptWB_2_confirm"
"promptwb_02_time_first_click","promptwb","02_time_first_click","numeric","prompt_meta","PromptWB_2_time_First_Click"
"promptwb_02_time_last_click","promptwb","02_time_last_click","numeric","prompt_meta","PromptWB_2_time_Last_Click"
"promptwb_02_time_page_submit","promptwb","02_time_page_submit","numeric","prompt_meta","PromptWB_2_time_Page_Submit"
"promptwb_02_time_click_count","promptwb","02_time_click_count","integer","prompt_meta","PromptWB_2_time_Click_Count"
"promptwb_03_confirm","promptwb","03_confirm","factor","prompt_meta","PromptWB_3_confirm"
