"uuid","userid","itemid","transcript","duration","number_of_words","words_per_minute","created_at","mp03_url","recorded_from","app_uuid","flag_invalid_moment","flag_dup_moment","prompt_category","prompt_construct","itemtext","source","prompt_id","swls_tot","student_status_prolific"
"v-0977d5fb-e0f6-4b22-89ed-560c46de5a83","5fe8f1750a5e7f81a7f8adc9","PromptGoal","if I could prioritize one thing and ignore everything else. The first thing I would do is get skinnier, I do go to the gym, not as often as I would like to, but I also walk my dog and those are little steps. That's, I don't see any progress right now when it comes to losing weight. But I think getting skinny would be the first step towards having a more satisfying life. If satisfying life was being noticed by or just being considered a person because being fat, I don't really get any attention from my peers, which is better than negative attention for being fat. But relationship wise, I haven't had any of that since years ago, so perhaps getting skinnier will give me more confidence to go out in the, during the hookup era and it would just help me with my health. I think a doctor should look healthy and be healthy. So that would probably help my career as well.",96.04,166,103.706788837984,"2022-12-18T06:09:42.373Z","https://www.cameratag.com/assets/v-0977d5fb-e0f6-4b22-89ed-560c46de5a83/mp3.mp3","https://lotic.qualtrics.com/jfe/form/SV_9NwfGbrxyxUZOku?PROLIFIC_PID=5fe8f1750a5e7f81a7f8adc9&STUDY_ID=639e73b38884ae6555e593ca&SESSION_ID=639ea9465805dbf9bad91647","a-b14b7c20-5f43-013b-1cdd-02c7c2460d41",FALSE,FALSE,"Goals","Goals","If your goal was a more satisfying life, what would be your first step towards that goal?","Lets talk about wellbeing","prompt_01",13,"Yes"
"v-a65d0ff4-1ee4-414b-b609-b6da82b1a0b0","631f626c1a2be3cc3d2069d8","PromptGoal","my goal was more satisfying life. What would be my first steps towards the goal would be addressing all of my um flaws that hold me back? I would address all of my concerns and my little I guess quirks that caused me to struggle. I would and then um taking the time to learn how to do things that I find difficult and learn how to do them the proper way, laying a foundation, a solid foundation in which I can build that satisfying life upon. I believe that taking the things that you're bad at, learning how to make them things that you excel at is a great way to lay that foundation. The many things that I struggle with, I, Well, one x 1, learn to conquer and will slowly take each and one each and every one of those things and master them which are the things that are holding me back. And once I have mastery of those skills, nothing will be holding me back. And I would have laid a solid foundation in which to build my more satisfying life upon.",124.13,187,90.3891081930235,"2022-12-18T06:27:59.906Z","https://www.cameratag.com/assets/v-a65d0ff4-1ee4-414b-b609-b6da82b1a0b0/mp3.mp3","https://lotic.qualtrics.com/jfe/form/SV_9NwfGbrxyxUZOku?PROLIFIC_PID=631f626c1a2be3cc3d2069d8&STUDY_ID=639e73b38884ae6555e593ca&SESSION_ID=639ea7066ece16451a39f631","a-b14b7c20-5f43-013b-1cdd-02c7c2460d41",FALSE,FALSE,"Goals","Goals","If your goal was a more satisfying life, what would be your first step towards that goal?","Lets talk about wellbeing","prompt_01",26,"Yes"
"v-915eac71-6641-4a84-b115-6c652d75b79d","61109c0ff4b053064588d68e","PromptGoal","first I would get out of the town I'm currently living in. I am not happy in this town, but I'm also completing my advanced degree, so I would stick it out until May and then I, if I had the means would join an orchestra so that I can put my skills to use again. I'm a clarinet player. I'm a clarinetist. I practiced and performed for over a decade and I no longer perform because I spent so much time on my career. So I would be much more satisfied in life if I could perform again. Also, if I could volunteer and help LGBT shelters and LGBT nonprofits, those are my first steps towards having a satisfying life, being able to perform and being a better volunteer, being able to help others on top of having moved to a big city and being really successful in my career.",99.02,151,91.4966673399313,"2022-12-18T07:57:59.946Z","https://www.cameratag.com/assets/v-915eac71-6641-4a84-b115-6c652d75b79d/mp3.mp3","https://lotic.qualtrics.com/jfe/form/SV_9NwfGbrxyxUZOku?PROLIFIC_PID=61109c0ff4b053064588d68e&STUDY_ID=639e73b38884ae6555e593ca&SESSION_ID=639ec01f8ab58eff3fa3af2b","a-b14b7c20-5f43-013b-1cdd-02c7c2460d41",FALSE,FALSE,"Goals","Goals","If your goal was a more satisfying life, what would be your first step towards that goal?","Lets talk about wellbeing","prompt_01",13,"Yes"
"v-5d15a754-6717-4b0a-b5af-e09be5993a52","631bf96cdf83ffb8f4a7fab8","PromptGoal","So if my goal is a more satisfying life, what would be your first steps towards that goal? So I think, you know, that's the goal for everybody and definitely is the goal right now, So, but if my goal was a more satisfying life, my first steps to that would probably be first discovering what it is that I know that I will enjoy a lot and that I find extremely satisfying. That would be definitely the first step, because I think in order to live a satisfying life, you need to understand yourself. And as much as people may say, they they know themselves and understand themselves, there's still a lot to learn about yourself as an individual. So I think I would, the first step would probably be to learn more about myself, so I could find more of my interests and really, you know, come come to like the center of things and figure out what I'm really interested in so that I can pursue those things and focus on those things and in return, you know, by me focusing on myself and learning on myself, that allowed me to understand the things I need to focus on and that would lead to a more satisfying life. So definitely my first step would be to learn more about myself and improve myself of course, as I'm learning in order to live a more satisfying life",89.34,239,160.51040967092,"2022-12-18T08:20:14.036Z","https://www.cameratag.com/assets/v-5d15a754-6717-4b0a-b5af-e09be5993a52/mp3.mp3","https://lotic.qualtrics.com/jfe/form/SV_9NwfGbrxyxUZOku?PROLIFIC_PID=631bf96cdf83ffb8f4a7fab8&STUDY_ID=639e73b38884ae6555e593ca&SESSION_ID=639ebbb51be1da0be6b8571f","a-b14b7c20-5f43-013b-1cdd-02c7c2460d41",FALSE,FALSE,"Goals","Goals","If your goal was a more satisfying life, what would be your first step towards that goal?","Lets talk about wellbeing","prompt_01",18,"Yes"
"v-68485242-d69f-4fa3-848a-f8ba3818f431","637ae6da2c8a92b511c1e8c1","PromptGoal","If my goal was more satisfying life, what would be my first steps toward that goal? I really don't know, 13, I guess just sitting there watching the snow blow by and what the hell happened to my recording? My goal would be to relax, take everything in nature. I think I'm a big nature freak. Um I like the outdoors, although I never went camping. Um it would be really nice just to spend time outdoors and just relax instead of being caught up in the rush rush, just meeting new people, eating at new places with my significant other and my family. I think it'd be fun, you know, like I said, it'd be fun if we had the morning and we could afford to travel by, train up in Canada with the wilderness and the bears.",65.45,139,127.42551566081,"2022-12-18T17:20:20.929Z","https://www.cameratag.com/assets/v-68485242-d69f-4fa3-848a-f8ba3818f431/mp3.mp3","https://lotic.qualtrics.com/jfe/form/SV_9NwfGbrxyxUZOku?PROLIFIC_PID=637ae6da2c8a92b511c1e8c1&STUDY_ID=639e73b38884ae6555e593ca&SESSION_ID=639eb5346f9cf6a9ac00e816","a-b14b7c20-5f43-013b-1cdd-02c7c2460d41",FALSE,FALSE,"Goals","Goals","If your goal was a more satisfying life, what would be your first step towards that goal?","Lets talk about wellbeing","prompt_01",30,"Yes"
"v-c227d761-1433-433d-8b7e-acf698c8d56b","60fd6618f9a377f54dcdf318","PromptGoal","I think the first step towards a goal of a more satisfying life would be to build a better support system for myself. I think that as it stands, my support system isn't the strongest it's ever been. So I think that just relying on friends and family um goes a long way into helping pursue goals and to um you know, reach those new heights. Um so I think focusing on those, um building those friendships and family relationships um will ultimately help in pursuing additional goals. I think a small aspect also may just be financially, obviously things cost money and building a life costs money and so, you know, saving, pursuing new job opportunities to pay more, um certainly play a large role um in pursuing new things. So yeah, I think the building family and friend relationships as well as financially as are the things that steps you need to pursue.",91.36,155,101.795096322242,"2022-12-19T00:05:25.997Z","https://www.cameratag.com/assets/v-c227d761-1433-433d-8b7e-acf698c8d56b/mp3.mp3","https://lotic.qualtrics.com/jfe/form/SV_9NwfGbrxyxUZOku?PROLIFIC_PID=60fd6618f9a377f54dcdf318&STUDY_ID=639e73b38884ae6555e593ca&SESSION_ID=639fa6c54cb07c1dede593df","a-b14b7c20-5f43-013b-1cdd-02c7c2460d41",FALSE,FALSE,"Goals","Goals","If your goal was a more satisfying life, what would be your first step towards that goal?","Lets talk about wellbeing","prompt_01",29,"Yes"
"v-f4fd121f-aed8-4742-b713-3b7e7873d3e8","5c4af67cdccaa800016b3192","PromptGoal","So if my goal is a more satisfying life, what would the first step towards that goal be? I think the first step would really have to be that step of consistently getting out of my comfort zone. Uh that's something I have struggled with my entire life. Uh I don't like being uncomfortable, uh I don't like surprises or anything like that, I never have, I've just never been a risk taker really, which is frustrating because in those rare moments when I have stepped out of my comfort zone, it's usually worked out pretty well for me, but you know, despite that, I just kind of have a natural uh resistance to it, and I feel like if I would have taken more chances on a consistent basis throughout my life, I would probably be, you know, a little more happier than I am now, maybe be a little more uh successful than I am now. I mean, I try not to regret too much of the past and what I have or haven't done, but I think it's kind of natural to do so and I just think if I, you know, when I'm old, old old and looking back on life, you don't want to have too many regrets. So I know the way to cut down on that is to to take more risk and so forth. It's just like I said, it's just a constant struggle for me to do that, even even though I know that I need to. Uh so yeah, that that is without question, I think that by far the most important first step that I would need to take to to have a more satisfying life.",99.77,287,172.596973037987,"2022-12-19T00:09:05.221Z","https://www.cameratag.com/assets/v-f4fd121f-aed8-4742-b713-3b7e7873d3e8/mp3.mp3","https://lotic.qualtrics.com/jfe/form/SV_9NwfGbrxyxUZOku?PROLIFIC_PID=5c4af67cdccaa800016b3192&STUDY_ID=639e73b38884ae6555e593ca&SESSION_ID=639fa6c26e17346a01438f1f","a-b14b7c20-5f43-013b-1cdd-02c7c2460d41",FALSE,FALSE,"Goals","Goals","If your goal was a more satisfying life, what would be your first step towards that goal?","Lets talk about wellbeing","prompt_01",13,"Yes"
"v-b28a3fdf-0628-4066-8bee-c397d3d09233","5ee1ddc35a4f0e2043d774bd","PromptGoal","to fully satisfy to fully be satisfied with my life. I have to become very brief dentist. I have to because I have to get a lot of money. I want to live successfully financially. I want to live comfortably with my family that I make in the future. Give all my inheritance to my kids so they can live successfully and confidently and comfortably. I want to spoil my family, give them whatever they desired because I know how hard they work. They came from nothing and those desires never go away and I would 100% buy them whatever they need to get them whatever they want because that's just a goal in my life that I need to do. So I got fully satisfied. Also another the goal is to attain accounts by them. Very nice cars by them, a big house because they have worked concerned the province to not become great. They've given me everything I needed to become successful. Every resource they took out their pocket even though they didn't have enough money, they still got me the new Mac book in this form because they knew that was a good investment for me. They knew I would use these devices to become successful to trade stocks to do amazing on my homework assignments to do amazing attached to study to everything. They have invested a lot in me So I can't, let's go",94.39,239,151.922873185719,"2022-12-19T00:14:16.908Z","https://www.cameratag.com/assets/v-b28a3fdf-0628-4066-8bee-c397d3d09233/mp3.mp3","https://lotic.qualtrics.com/jfe/form/SV_9NwfGbrxyxUZOku?PROLIFIC_PID=5ee1ddc35a4f0e2043d774bd&STUDY_ID=639e73b38884ae6555e593ca&SESSION_ID=639fa6e68d784466c4223f25","a-b14b7c20-5f43-013b-1cdd-02c7c2460d41",FALSE,FALSE,"Goals","Goals","If your goal was a more satisfying life, what would be your first step towards that goal?","Lets talk about wellbeing","prompt_01",24,"Yes"
"v-6e4154c1-d5ba-4c15-8b75-8e96957cabc5","60efa1c50a4bb735b287edda","PromptGoal","I think, well this definitely actually is a goal that I currently have to have a more satisfying, Like I feel like most people have a goal to have a more satisfying life, but for me, I think the first step is X being accepted, being in acceptance of what you already have, what your life already is, because I don't feel that you can actually create a better life if you're in resistance to what is now, I feel that you have to accept where you're at, acknowledge where you're at, forgive yourself for where you're at and just completely be okay with that. And then you can start actually taking steps to having a better life because if you try to persist from a state of resistance, it's not gonna work. And so something that I've been trying is just being grateful is a really big thing. I feel like for having a more satisfying life thinking every single day, okay, what are the things that I do have that I'm very grateful for? Because it's really easy for people to think about, oh all the things that I don't have and all the things I wish I had all the things I want, oh, I I would be so much happier if I had this or that or that. But people don't really think about, oh, this is such an amazing thing I have, I would be so sad if I didn't have this. So I try to think more like that, just really grateful for the little things that other people might wish that they had",103.64,270,156.310304901582,"2022-12-19T00:15:11.720Z","https://www.cameratag.com/assets/v-6e4154c1-d5ba-4c15-8b75-8e96957cabc5/mp3.mp3","https://lotic.qualtrics.com/jfe/form/SV_9NwfGbrxyxUZOku?PROLIFIC_PID=60efa1c50a4bb735b287edda&STUDY_ID=639e73b38884ae6555e593ca&SESSION_ID=639fa6e21d8646e572f55a68","a-b14b7c20-5f43-013b-1cdd-02c7c2460d41",FALSE,FALSE,"Goals","Goals","If your goal was a more satisfying life, what would be your first step towards that goal?","Lets talk about wellbeing","prompt_01",26,"Yes"
"v-94acc8c4-a572-4f1c-b472-863bbe9fb483","62a7c4d5266dfb89bf94fec8","PromptGoal","if my goal is a more satisfying life, I think that I would like to be um kinder to myself and I would like to be more open and um accepting of myself. Um I think one of my biggest struggles is with self criticism and self doubt, so I think that I would really enjoy just being able to have the time to um really just be free mentally as far as letting myself enjoy life and letting myself um the freer from doubt and from worry and from self criticism. So um that's something that I think would really greatly contribute to me having a more satisfying life, like I'm grateful for what I have now, but I do believe that if I was able to work on some self improvement as far as my um my outlook on my own life and how I treat myself, I think I would really gain more satisfaction and more joy if I was able to just really look at myself and feel more accepting of who I am as a person and what I want out of life, and really just embrace that. So that's something that I believe would contribute to more satisfying life",91.72,205,134.103794156127,"2022-12-19T00:15:27.001Z","https://www.cameratag.com/assets/v-94acc8c4-a572-4f1c-b472-863bbe9fb483/mp3.mp3","https://lotic.qualtrics.com/jfe/form/SV_9NwfGbrxyxUZOku?PROLIFIC_PID=62a7c4d5266dfb89bf94fec8&STUDY_ID=639e73b38884ae6555e593ca&SESSION_ID=639fa6ff2548cd2da3b598bf","a-b14b7c20-5f43-013b-1cdd-02c7c2460d41",FALSE,FALSE,"Goals","Goals","If your goal was a more satisfying life, what would be your first step towards that goal?","Lets talk about wellbeing","prompt_01",25,"Yes"
