"userid","flag_nomatch_survey","flag_no_survey","Progress","Duration__in_seconds_","Status_prolific"
"616f4c9a8b227a8e2c8506a8",TRUE,FALSE,64,280,"TIMEDOUT"
"633a1952eb49d5caf1a9a176",TRUE,FALSE,56,382,"TIMEDOUT"
"60f592f40e80188d5bc991e8",TRUE,FALSE,12,1149,"TIMEDOUT"
"615d051e2366aeb051acb734",TRUE,FALSE,25,376,"TIMEDOUT"
"5d453e8723a5bb0001492546",TRUE,FALSE,64,1044,"TIMEDOUT"
"6298cc9622b9c0f184d25cb3",TRUE,FALSE,25,219,"TIMEDOUT"
"5d730a3cf37bfe0001ff031a",TRUE,FALSE,64,473,"TIMEDOUT"
"5d615f7632cfbd001b1b6dcb",TRUE,FALSE,86,847,"TIMEDOUT"
"628f572a2d1304a34b9e1a37",TRUE,FALSE,93,1544,"TIMEDOUT"
"638e84c70418d8a2c0aa372e",TRUE,FALSE,96,1520,"TIMEDOUT"
"5ee142b292607215593aa9af",TRUE,FALSE,64,1726,"TIMEDOUT"
"5b53e95f4bbe600001465c18",TRUE,FALSE,64,950,"TIMEDOUT"
"6289830ab45711e64f6d6546",TRUE,FALSE,93,3585,"TIMEDOUT"
"5f852dee17ab6c2136ac62e4",TRUE,FALSE,86,700,"TIMEDOUT"
"5dbf692c2a1dd63f64ef5ae4",TRUE,FALSE,12,125,"TIMEDOUT"
"62e42aaad0079d2ff8e97597",TRUE,FALSE,64,847,"TIMEDOUT"
"62a885d5b6af18b3d4579e1b",TRUE,FALSE,64,160,"TIMEDOUT"
"56ec9fa4f9ffc4000ac1941b",TRUE,FALSE,26,467,"TIMEDOUT"
"616c056b42e788ef31efc4b0",TRUE,FALSE,64,1003,"TIMEDOUT"
"62964d27c2b2866faa677493",TRUE,FALSE,64,351,"TIMEDOUT"
"6296849bbd45e6accf130f07",TRUE,FALSE,64,800,"TIMEDOUT"
"5e9f397c9286a70c1279d0b4",TRUE,FALSE,64,797,"TIMEDOUT"
"6095fc75ab1d101e060d808b",TRUE,FALSE,57,1196,"TIMEDOUT"
"5f5a544860d7fa0e8b9b4978",TRUE,FALSE,64,1603,"TIMEDOUT"
"62a39ad98ce3882e11e54d8f",TRUE,FALSE,64,2469,"TIMEDOUT"
"5f5a544860d7fa0e8b9b4978",TRUE,FALSE,64,583,"TIMEDOUT"
"604bfe99dcaa286218d25fca",TRUE,FALSE,91,2869,"TIMEDOUT"
"57334d427d01ed00098e8e69",TRUE,FALSE,26,138,"TIMEDOUT"
"5d537c0cecc84200153075e9",TRUE,FALSE,26,187,"TIMEDOUT"
"5dcf7b49523df00ae9c4e07e",TRUE,FALSE,84,346,"TIMEDOUT"
"5ac5207ee1546900019c0279",TRUE,FALSE,84,772,"TIMEDOUT"
"6266e63b82fa38e800e33a24",TRUE,FALSE,57,1093,"TIMEDOUT"
"63026053812fe400f2929701",TRUE,FALSE,64,1256,"TIMEDOUT"
"5f7a28b8bedcf2112ebd1289",TRUE,FALSE,88,1408,"TIMEDOUT"
"614af89a94339a92bf646754",TRUE,FALSE,64,1404,"TIMEDOUT"
"62d6d903bfa2edd3d7f58d82",TRUE,FALSE,64,1806,"TIMEDOUT"
"607778a26ff3de83125f50c5",TRUE,FALSE,84,2085,"TIMEDOUT"
"6352b3c968388ef86f3556db",TRUE,FALSE,64,2253,"TIMEDOUT"
"5d67096e6c4d1700163102e5",TRUE,FALSE,84,2550,"TIMEDOUT"
"63619eb02e5bd8f4f7bd138a",TRUE,FALSE,64,1055,"TIMEDOUT"
"615bb35e52d50aa9a2ae6747",TRUE,FALSE,91,5868,"TIMEDOUT"
"5feb65120b1a44738e27ae4f",TRUE,FALSE,64,415,"TIMEDOUT"
"5e13ad514c81b2a01ae4aa9f",TRUE,FALSE,64,425,"TIMEDOUT"
"61719bfec06e3136189edb55",TRUE,FALSE,64,426,"TIMEDOUT"
"62d2aee15e1dc6709bdcace0",TRUE,FALSE,64,610,"TIMEDOUT"
"5d29cc8869a747001acdb3c1",TRUE,FALSE,26,197,"TIMEDOUT"
"5c60a763dff4b30001aa98ee",TRUE,FALSE,64,897,"TIMEDOUT"
"5f42167916548e3e557a1e6a",TRUE,FALSE,14,353,"TIMEDOUT"
"5de985cf1be52f0a75357332",TRUE,FALSE,84,885,"TIMEDOUT"
"5c239f96da51990001e21d97",TRUE,FALSE,13,202,"TIMEDOUT"
"5fefefa4c9707d3516361c9c",TRUE,FALSE,64,996,"TIMEDOUT"
"628e3768a418a3b5d079e097",TRUE,FALSE,84,867,"TIMEDOUT"
"611d85eed6ae2432c258f0aa",TRUE,FALSE,64,805,"TIMEDOUT"
"576ad50bc8a90000010d99c8",TRUE,FALSE,64,392,"TIMEDOUT"
"6294584c8601739c2c920cf6",TRUE,FALSE,92,569,"TIMEDOUT"
"5aadbe52811b2000016f7633",TRUE,FALSE,85,561,"TIMEDOUT"
"5d193535601cd70017727028",TRUE,FALSE,64,421,"TIMEDOUT"
"55a28851fdf99b602e6b05dd",TRUE,FALSE,87,1912,"TIMEDOUT"
"5d88f010859c9e0001810e88",TRUE,FALSE,64,826,"TIMEDOUT"
"5798e5674a84da00014c652b",TRUE,FALSE,64,425,"TIMEDOUT"
"63686d18c3ed2b47b0bc5d21",TRUE,FALSE,26,252,"TIMEDOUT"
"62fc63161f97c9cb8af24925",TRUE,FALSE,64,657,"TIMEDOUT"
"62d5db8e2d079e00489d8c76",TRUE,FALSE,85,900,"TIMEDOUT"
"5cb553b7a0ccb30017e5b617",TRUE,FALSE,91,2569,"TIMEDOUT"
"612dadc02ff79efdae19c7f6",TRUE,FALSE,13,2952,"TIMEDOUT"
"5cba1809102bd400130c19e7",TRUE,FALSE,64,1194,"TIMEDOUT"
"6307a5e6e8a35c5eaeddb421",TRUE,FALSE,64,599,"TIMEDOUT"
"5dd365bdaf16d337333e212e",TRUE,FALSE,64,3501,"TIMEDOUT"
"6044dfc230e44b5793804ba6",TRUE,FALSE,64,331,"TIMEDOUT"
"5cc8f511f24f6c001c1692a9",TRUE,FALSE,64,741,"TIMEDOUT"
"62728d9afbb36631896f3bcb",TRUE,FALSE,84,3851,"TIMEDOUT"
"5e667f3bc3f30a4050fc8f2f",TRUE,FALSE,84,869,"TIMEDOUT"
"634740193026d2b89955a51a",TRUE,FALSE,64,350,"TIMEDOUT"
"5fc1ffc15478a5319b85ecd2",TRUE,FALSE,64,3898,"TIMEDOUT"
"5b7c877f9dc643000172043d",TRUE,FALSE,64,768,"TIMEDOUT"
"5e0d256753e8464d64940925",TRUE,FALSE,84,1505,"TIMEDOUT"
"62e073721cd1f5f6cff50910",TRUE,FALSE,64,759,"TIMEDOUT"
"5a6f57166923df0001ef8d02",TRUE,FALSE,85,885,"TIMEDOUT"
"5f0a768d79e052185602759b",TRUE,FALSE,64,1846,"TIMEDOUT"
"5e03e20e4cac68ec33187d80",TRUE,FALSE,64,673,"TIMEDOUT"
"5eb4442bcaffba2864f4c554",TRUE,FALSE,85,515,"TIMEDOUT"
