Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Current u.s state of residence,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6430b28c53b599970ff8da6c,5f2f6bd965964e35e20c7445,APPROVED,2023-04-08T00:17:21.125000Z,2023-04-08T00:49:29.130000Z,2023-04-12T16:10:01.704000,2023-04-08T00:49:29.473569Z,1929,C12OLERP,1001,Texas (TX),English,55,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6430bdac3ee065de79f748ff,62a0b24d821f4d3e32c42c2e,RETURNED,2023-04-08T01:04:53.746000Z,2023-04-08T01:06:51.301000Z,,2023-04-08T01:06:51.754000Z,,NOCODE,358,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6430c4d57344bcd7a92931b9,628c2454c8c66010dd87391d,APPROVED,2023-04-08T01:35:24.619000Z,2023-04-08T02:07:21.177000Z,2023-04-12T16:10:01.888000,2023-04-08T02:07:21.636378Z,1917,C12OLERP,1669,Washington (WA),English,32,Male,White,United States,United States,United States,English,DATA_EXPIRED,Unemployed (and job seeking)
64317a080590fe0d5590d350,612d576fd75b6c46b4cefc6e,APPROVED,2023-04-08T14:28:29.483000Z,2023-04-08T15:12:53.290000Z,2023-04-12T16:10:02.073000,2023-04-08T15:12:53.717752Z,2664,C12OLERP,1307,Texas (TX),"English, Portuguese",49,Male,White,United States,United States,United States,English,No,Part-Time
64317af10782d336fb90d350,5c0065c9b18ed30001943bfd,APPROVED,2023-04-08T14:33:52.513000Z,2023-04-08T15:36:55.076000Z,2023-04-12T16:10:02.279000,2023-04-08T15:36:55.567968Z,3783,C12OLERP,259,North Carolina (NC),English,33,Female,White,United States,United States,United States,English,No,Full-Time
64317d5f514abb762e418201,60fde4c44dde3e3f346ac1db,APPROVED,2023-04-08T14:42:43.803000Z,2023-04-08T15:15:49.367000Z,2023-04-12T16:10:02.451000,2023-04-08T15:15:49.721602Z,1986,C12OLERP,684,Texas (TX),English,36,Female,White,United States,United States,United States,English,Yes,Full-Time
64317faea9837c46de8d9293,5ddc3ccd108b67ba3b7efa5a,APPROVED,2023-04-08T14:53:35.137000Z,2023-04-08T15:37:52.338000Z,2023-04-12T16:10:02.620000,2023-04-08T15:37:52.728878Z,2658,C12OLERP,1818,North Carolina (NC),English,53,Female,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
643180987f5ec2cbf0f6009e,56db4c217dcddf000bd5853c,APPROVED,2023-04-08T14:56:30.164000Z,2023-04-08T15:23:32.813000Z,2023-04-12T16:10:02.784000,2023-04-08T15:23:33.273765Z,1623,C12OLERP,4243,Kentucky (KY),English,64,Female,White,United States,United States,United States,English,No,Part-Time
6431844a50054ce3b9eb6caa,5b98940f754b700001f0f15c,APPROVED,2023-04-08T15:12:16.509000Z,2023-04-08T16:02:33.988000Z,2023-04-12T16:10:02.979000,2023-04-08T16:02:34.392081Z,3018,C12OLERP,3041,Arkansas (AR),English,57,Female,White,United States,United States,United States,English,No,Full-Time
643184cd3cf11474e9dbca65,5cfec17adc24bc00016efa53,APPROVED,2023-04-08T15:14:25.526000Z,2023-04-08T15:45:24.005000Z,2023-04-12T16:10:03.149000,2023-04-08T15:45:24.376215Z,1859,C12OLERP,3125,Texas (TX),English,37,Male,White,United States,United States,United States,English,No,Full-Time
