Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Current u.s state of residence,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6431c7d62b4d495387c9e83e,615bb35e52d50aa9a2ae6747,APPROVED,2023-04-08T20:02:33.190000Z,2023-04-08T20:41:55.347000Z,2023-04-12T19:18:04.313000,2023-04-08T20:41:55.669772Z,2363,C12OLERP,2920,Arkansas (AR),English,44,Female,White,United States,United States,United States,English,No,Part-Time
6431fa04d88b570fa4f48baf,63e53244753446145e0f1b76,RETURNED,2023-04-08T23:34:32.965000Z,2023-04-08T23:34:58.896000Z,,2023-04-08T23:34:59.259000Z,,NOCODE,64,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6431fca9f8aae1ddfbf154a2,60fcd9699c3def3068403b90,APPROVED,2023-04-08T23:45:52.982000Z,2023-04-09T00:17:43.864000Z,2023-04-12T19:19:36.398000,2023-04-09T00:17:44.265956Z,1911,C12OLERP,2282,Arkansas (AR),English,35,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
6432217a5255f3b4a7f8da6e,63bc74f63269af3a7bfcec7c,APPROVED,2023-04-09T02:23:26.213000Z,2023-04-09T03:26:52.265000Z,2023-04-12T19:19:23.656000,2023-04-09T03:26:52.634959Z,3807,C12OLERP,611,Arkansas (AR),English,53,Female,White,United States,United States,United States,English,No,Part-Time
64333256e0a7cc4d2c977044,5fbae54831099083583afff0,APPROVED,2023-04-09T21:47:07.548000Z,2023-04-09T22:16:54.327000Z,2023-04-12T19:19:54.953000,2023-04-09T22:16:54.801339Z,1787,C12OLERP,1549,Arkansas (AR),English,46,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6433f5eefc7d20e7a68ff2ca,62cef2f2cc47af9fb6e7a21f,APPROVED,2023-04-10T11:48:44.123000Z,2023-04-10T12:20:08.843000Z,2023-04-12T19:21:13.055000,2023-04-10T12:20:09.254191Z,1885,C12OLERP,556,Arkansas (AR),English,29,Male,Black,Nigeria,United States,United States,English,Yes,Unemployed (and job seeking)
6434157c095c888a93ad9c75,5f49b686fc6fe952cf94d25d,APPROVED,2023-04-10T13:56:18.958000Z,2023-04-10T14:28:41.117000Z,2023-04-12T19:21:29.261000,2023-04-10T14:28:41.470911Z,1943,C12OLERP,248,Arkansas (AR),English,34,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
643423ea57ff6c3c6488bca5,5f496b791798ec4d6340620d,APPROVED,2023-04-10T14:57:49.195000Z,2023-04-10T15:20:16.984000Z,2023-04-12T19:21:41.477000,2023-04-10T15:20:17.390251Z,1348,C12OLERP,2861,Arkansas (AR),English,33,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
6434a67506452e892d7882e5,62ba9df7bf9e8e2ef0501f94,APPROVED,2023-04-11T00:15:25.128000Z,2023-04-11T01:49:29.541000Z,2023-04-12T19:21:56.077000,2023-04-11T01:49:30.054413Z,5645,C12OLERP,1241,Arkansas (AR),English,38,Male,White,United States,United States,United States,English,No,Full-Time
6434c848bbd94e2bd9f14188,637b475a9348347c70dbdd4a,APPROVED,2023-04-11T02:39:12.435000Z,2023-04-11T03:22:21.145000Z,2023-04-12T19:22:12.720000,2023-04-11T03:22:23.152977Z,2589,C12OLERP,485,Arkansas (AR),English,48,Male,Black,United States,United States,United States,English,No,Full-Time
