,userid,itemid,transcript,labeled_topic,topic_label
0,5f2f6bd965964e35e20c7445,QOL_1,"I responded somewhat agree because I feel generally pretty safe in the area that I live in. Although not 100% safe, generally I would go to work in the morning, come home at night and maybe do some yard work. So I'm not really outside all that much in my neighborhood. I don't know very many people in my neighborhood, even though I've lived here for 20 years and there definitely is crime in the area. But I pretty much keep to myself. So I don't feel like I'm affected that much. I'm not afraid to go on a walk in at night in the dark. I don't think it's that type of scary. So I feel like it's pretty safe. I also don't, but I didn't put completely agree because I don't know a lot of people in my area, but that's completely my fault for not learning.",24_neighborhood_live_houses_theres,neighborhood
1,628c2454c8c66010dd87391d,QOL_1,"I feel as if the answer is, is as complicated because I feel as if this community has a lot to offer. But at the same time, it doesn't. And the answer for that is because of the size, the size of the community is pretty small. This town only has about 60,000 people in it. And it's, it feels very limited in what kind of scope it can reach because of that. Um But the people you do meet are very nice. They're very kind, they're very helpful, they'll go other way to do things for you. But on the other hand, that's the center of the town on the outskirts of the town, there's a lot of poverty. And again, these people are very nice, but in terms of my sense of safety, there really isn't one, there is a lot of crime on the outskirts of town. And in terms of participation, it's like, like I said, there's not a whole lot to do, but you always feel welcome whenever there is something to do. So it does feel kind of like a mixed, mixed bag here. I have joined in community events. Um But it just feels like why bother. Um On the other hand, it's a kind of like the town is based on a college campus. So everything revolves around the university. And so being part of the university, you're much more able to be invited to all these different things.",31_community_online_people_group,online_community
2,612d576fd75b6c46b4cefc6e,QOL_1.1,"I have to be honest, I'm less than truly satisfied with the quality of life in my community here in Dallas, Texas. First of all, being a part of the LGBT community in a state that is trending, uh toward, um, laws that affect us greatly. Uh For, for the worse. It gets really scary. I don't see a lot of people that remind me of myself in this neighborhood where I live. Although in the greater city, there may be more like me in the area where I am feel somewhat suburban. I don't really identify with a lot of the families that live around here. Um So I don't meet a lot of people to participate in activities with. I tend to be more of a loner when I'm out and about and things like that. I do enjoy the restaurants, the cafes, the running trail that we have near the lake here. But when I'm out and about, it's usually more just me doing that or grabbing a cup of coffee by myself or going to another part of the city to find a friend that I do have things in common with. Um, as far as a typical week in my life. I work just part time right now and I'm living here with my husband and, uh, so I usually get up early in the morning exercise again by myself. I'll work some at home. Sometimes I'll work some outside the house as a, as a ride, share driver. I'll meet interesting people, but I just don't see myself reflected in the community around me and I think that's the hardest thing about living here as far as my physical safety in this moment, I feel ok most of the time. But there are those times, especially at night where I am a little bit concerned about homophobia about crime in general. And overall, I think that I would be very happy to find uh a neighborhood and, and city and, and state for that matter, that allowed me to see more of myself in the life that I see around me.",16_social_friends_satisfied_people,social_life
3,5c0065c9b18ed30001943bfd,QOL_1,"For the most part, I'm not overly happy with where I live, whether it's the state, the city, the county not overly happy with where we are. Um, the politics around here are pretty awful. There is not a lot immediately surrounding and we have to go into the big city to get really the, the feel of living somewhere. I guess we're not really rural, we're not really urban. We're in this weird mix where around us is tons of housing developments going up. That leads to kind of like a, a bogey feeling of people around us. So while the school that my child goes to is right down the road, I feel like we're pretty much a lot poorer than many of the kids that are there. And I'm constantly just kind of in a weird state of wanting to provide the best for her feeling like we're not because she's not able, I guess to have as much as her peers do. Like most recent example was um, last year she went to a birthday party where they rented like a bounce house, they had tons of people there and it was like really cool. Meanwhile, I'm like, ok, so we're gonna have a party at the playground with some pizza, um, and just let the kids run around and do whatever because her birthday one is by a holiday. So that kind of stinks just in general. But then too, it's, it's just also like, you know, we're kind of falling on a budget with what we can and can't do. And it feels weird like it feels awkward going to parties. I don't feel like we are willing to engage with other parents for our kid because it's like we wouldn't fit in. We don't fit the mold because we're just slightly out of the, the Jie areas where, you know, housing is like starting in the 350,000 for brand new homes. Meanwhile, we're like kind of the redheaded stepchild where we're like off to the side pretty rural because there's farms, there's mostly mobile homes around us, like what we live in and, you know, we just don't want, we wouldn't feel comfortable with other kids coming over to our house. We don't really feel comfortable with our kiddo going elsewhere. It's just a weird state of things. We don't really have that many friends around. So it's, we stay home or we do some family activities with the kiddo or maybe with um boyfriend's grandmother, but it's just, it's kind of lonely. Don't really feel like we belong to anything nor do we really want to, I guess is the best way because we just don't feel like we'd fit in.",21_focused_task_time_project,focus
4,60fde4c44dde3e3f346ac1db,QOL_1.1,"A typical week in my life would consist of waking up about two hours before I need to wake up my child and then take her to school and then do come home, do what is necessary to help my parents live their lives, mostly consisting of cleaning, cooking. Um, go to work at some point, come home, go pick up my child from school again because even though she's 16, she does not fully have her license yet and then continue working on my hobby a little bit and more cleaning and then going to sleep if I just so happen to be able to sleep that night, which is definitely something that does not always happen. Um, more than likely I'll get about 23 hours of sleep and then just do it all over again.",26_sleep_quality_wake_asleep,sleep_quality
5,5ddc3ccd108b67ba3b7efa5a,QOL_1,"I think I'm somewhat satisfied with the quality of life in my community. I don't really live too close to anybody but I live close enough that I can see them and talk to them every day if I need to. I also am far, I shouldn't say far from the city. I'm also far enough from the city to have some kind of, uh, what's the word I'm looking for privacy room. Um, and one thing that I have noticed is that the community members kind of like I shouldn't say leave you alone, but they respect your privacy and they don't really bug you too much. But at the same time they're friendly and they're there for you and, um, are happy to help if need be. Also. I like the fact that I am only 10 minutes away from the biggest, well, I shouldn't say the biggest city. I'm 10 minutes away from town. So I, if I need anything, it's only 10 minutes away. And, uh, that way, I'm not too far out to the country, but I can still enjoy being in the country and being surrounded by trees and just, I guess that's just what makes me happy. So that's, you know, one of the biggest things I really like about my community.",31_community_online_people_group,online_community
6,5cfec17adc24bc00016efa53,QOL_1,"So not much goes on in my life and that it's deliberate, the kind of person that's asocial. And so I like to not interact with people all that much. So the community I live in is fairly quiet and not much goes on very low cost of living. Uh And again, in a typical week, um the most excitement I'll have is I'll go on some walks, maybe I'll go grocery shopping. Uh I watch a lot of movies, play some video games, watch some sports. Uh Keep up with the news, especially politics. But for the most part, my life is deliberately uneventful and the community I live in is it definitely, it doesn't, I wouldn't say it helps that, but it doesn't hurt it either. So, fairly content in where I am. There's nothing about my surroundings that keeps me from living the life I wanna live. So, yeah, I just, I'm a fairly low key person. I keep to myself and I like to keep things uneventful on purpose just because I don't find, I don't take life very seriously or people very interesting.",16_social_friends_satisfied_people,social_life
7,5e1b299528c70235eeed62ef,QOL_1.1,"So I'm gonna do the typical week for me. Uh, I work from home. So Monday through Friday, I wake up, I, um, feed the dogs, let them go out, make myself breakfast. Uh, start working. I'll work till about lunch. Typically have lunch with my wife after, um, lunch, go back to work, work till about five. Walk the dogs. If it's nice outside, eat dinner. Then after dinner I either go up to my office and play video games or I sit and watch TV with my wife or read a book that takes care of Monday through Friday. Saturday is typically for chores and projects. Uh, this time of year, it's a lot of yard work, get the errands done, grocery shopping for the next week. Sunday is typically more relaxing. Assuming we got all of our stuff done on Fridays. Sometimes on Saturdays, we'll hang out with friends on Saturday night, but Sundays try to just get caught up on laundry, um, big sports fan. So there's always sports on Sunday that I'm watching and then we, uh, assuming everything's good. Sunday night, we're just gonna have a chill Sunday night, uh, read before bed and then we are, uh, back to everything again on Monday and that is a normal week.",19_work_balance_productive_week,work_life_balance
8,5d1f71def861790016fafb83,QOL_1.1,I am satisfied with the quality of life in my community because my community pulls together to help each other. And everyone waves to everyone on the street and in their stores and they're just very courteous of each other.,16_social_friends_satisfied_people,social_life
9,628678ca852c5ee97a800552,QOL_1,"I said that I somewhat agree that I'm satisfied with the quality of life in my community. Um, the re, the positive reasons being it's a relatively safe community. Um, it's, uh, it's not a large city but it's a city so that there are plenty of businesses and things to do in the area. It's not too hard to find employment. Um, there are good schools in the area. Um, the only reason, excuse me, the only reason I didn't say strongly agree is, uh, for one, the housing prices are a little on the higher side and, um, for two, it's, it's a great city as far as finding work. Um, so raising a family in that aspect is a, a plus. But as far as the family themselves, as far as like kids and teenagers, there's really not much for them to do here besides go to school. So they, um, tend to find themselves getting into mischief, I think probably more often than in other communities. Um, and I have a 15 year old. So that's something that is really on my mind a lot. Um, but I think those would be the main pros and cons.",24_neighborhood_live_houses_theres,neighborhood
