"variable","value","label","meta"
"userid",NA,"User IDs that can be used for data merging","varlab"
"Progress",NA,"Progress","varlab"
"Duration__in_seconds_",NA,"Duration (in seconds)","varlab"
"RecordedDate",NA,"Recorded Date","varlab"
"ResponseId",NA,"Response ID","varlab"
"ExternalReference",NA,"External Data Reference","varlab"
"Consent_confirm",NA,"In this study we will ask you to record your voice while answering free-response prompts about your thoughts, feelings, activities, and memories. To confirm that you are eligible to participate, please answer the question below:



Do you consent to participating in this study, and are you willing to let this study record your voice when responding to questions?","varlab"
"Consent_confirm",1,"Yes",NA
"Consent_confirm",0,"No",NA
"Prolific_ID",NA,"What is your Prolific ID? Please note that this response should auto-fill with the correct ID","varlab"
"ID_check",NA,"Please confirm your 24 digit Prolific ID by entering it below.","varlab"
"Consent_no",NA,"We appreciate your willingness to participate, unfortunately one or more of your responses or your device settings indicate that you are not eligible to participate in this study. Please close this window and return this study on Prolific so that your account is not penalized by a rejection.","varlab"
"Recording_test",NA,"Using the microphone widget below, please record the following: ""Hello, this is a test recording."" Please make sure to allow access to your device's microphone. After recording, please click on Review Recording to check that you can hear your voice playing back. If you can't hear your voice, please make sure you have allowed access to your microphone, and that your device's volume is on.








You may proceed if you were able to successfully record. Were you able to hear your voice playing back on the recording?","varlab"
"Recording_test",1,"Yes",NA
"Recording_test",0,"No",NA
"state",NA,"In which state do you currently live?","varlab"
"state",1,"Arkansas",NA
"state",2,"Texas",NA
"state",3,"Idaho",NA
"state",4,"Iowa",NA
"state",5,"North Carolina",NA
"state",6,"Indiana",NA
"state",7,"Kentucky",NA
"state",8,"Wisconsin",NA
"state",9,"Washington",NA
"AK_county",NA,"In which county do you currently live?","varlab"
"AK_county",1,"Arkansas County, AR",NA
"AK_county",2,"Ashley County, AR",NA
"AK_county",3,"Baxter County, AR",NA
"AK_county",4,"Benton County, AR",NA
"AK_county",5,"Boone County, AR",NA
"AK_county",6,"Bradley County, AR",NA
"AK_county",7,"Calhoun County, AR",NA
"AK_county",8,"Carroll County, AR",NA
"AK_county",9,"Chicot County, AR",NA
"AK_county",10,"Clark County, AR",NA
"AK_county",11,"Clay County, AR",NA
"AK_county",12,"Cleburne County, AR",NA
"AK_county",13,"Cleveland County, AR",NA
"AK_county",14,"Columbia County, AR",NA
"AK_county",15,"Conway County, AR",NA
"AK_county",16,"Craighead County, AR",NA
"AK_county",17,"Crawford County, AR",NA
"AK_county",18,"Crittenden County, AR",NA
"AK_county",19,"Cross County, AR",NA
"AK_county",20,"Dallas County, AR",NA
"AK_county",21,"Desha County, AR",NA
"AK_county",22,"Drew County, AR",NA
"AK_county",23,"Faulkner County, AR",NA
"AK_county",24,"Franklin County, AR",NA
"AK_county",25,"Fulton County, AR",NA
"AK_county",26,"Garland County, AR",NA
"AK_county",27,"Grant County, AR",NA
"AK_county",28,"Greene County, AR",NA
"AK_county",29,"Hempstead County, AR",NA
"AK_county",30,"Hot Spring County, AR",NA
"AK_county",31,"Howard County, AR",NA
"AK_county",32,"Independence County, AR",NA
"AK_county",33,"Izard County, AR",NA
"AK_county",34,"Jackson County, AR",NA
"AK_county",35,"Jefferson County, AR",NA
"AK_county",36,"Johnson County, AR",NA
"AK_county",37,"Lafayette County, AR",NA
"AK_county",38,"Lawrence County, AR",NA
"AK_county",39,"Lee County, AR",NA
"AK_county",40,"Lincoln County, AR",NA
"AK_county",41,"Little River County, AR",NA
"AK_county",42,"Logan County, AR",NA
"AK_county",43,"Lonoke County, AR",NA
"AK_county",44,"Madison County, AR",NA
"AK_county",45,"Marion County, AR",NA
"AK_county",46,"Miller County, AR",NA
"AK_county",47,"Mississippi County, AR",NA
"AK_county",48,"Monroe County, AR",NA
"AK_county",49,"Montgomery County, AR",NA
"AK_county",50,"Nevada County, AR",NA
"AK_county",51,"Newton County, AR",NA
"AK_county",52,"Ouachita County, AR",NA
"AK_county",53,"Perry County, AR",NA
"AK_county",54,"Phillips County, AR",NA
"AK_county",55,"Pike County, AR",NA
"AK_county",56,"Poinsett County, AR",NA
"AK_county",57,"Polk County, AR",NA
"AK_county",58,"Pope County, AR",NA
"AK_county",59,"Prairie County, AR",NA
"AK_county",60,"Pulaski County, AR",NA
"AK_county",61,"Randolph County, AR",NA
"AK_county",62,"Saint Francis County, AR",NA
"AK_county",63,"Saline County, AR",NA
"AK_county",64,"Scott County, AR",NA
"AK_county",65,"Searcy County, AR",NA
"AK_county",66,"Sebastian County, AR",NA
"AK_county",67,"Sevier County, AR",NA
"AK_county",68,"Sharp County, AR",NA
"AK_county",69,"Stone County, AR",NA
"AK_county",70,"Union County, AR",NA
"AK_county",71,"Van Buren County, AR",NA
"AK_county",72,"Washington County, AR",NA
"AK_county",73,"White County, AR",NA
"AK_county",74,"Woodruff County, AR",NA
"AK_county",75,"Yell County, AR",NA
"TX_county",NA,"In which county do you currently live?","varlab"
"TX_county",1,"Anderson County, TX",NA
"TX_county",2,"Andrews County, TX",NA
"TX_county",3,"Angelina County, TX",NA
"TX_county",4,"Aransas County, TX",NA
"TX_county",5,"Archer County, TX",NA
"TX_county",6,"Armstrong County, TX",NA
"TX_county",7,"Atascosa County, TX",NA
"TX_county",8,"Austin County, TX",NA
"TX_county",9,"Bailey County, TX",NA
"TX_county",10,"Bandera County, TX",NA
"TX_county",11,"Bastrop County, TX",NA
"TX_county",12,"Baylor County, TX",NA
"TX_county",13,"Bee County, TX",NA
"TX_county",14,"Bell County, TX",NA
"TX_county",15,"Bexar County, TX",NA
"TX_county",16,"Blanco County, TX",NA
"TX_county",17,"Borden County, TX",NA
"TX_county",18,"Bosque County, TX",NA
"TX_county",19,"Bowie County, TX",NA
"TX_county",20,"Brazoria County, TX",NA
"TX_county",21,"Brazos County, TX",NA
"TX_county",22,"Brewster County, TX",NA
"TX_county",23,"Briscoe County, TX",NA
"TX_county",24,"Brooks County, TX",NA
"TX_county",25,"Brown County, TX",NA
"TX_county",26,"Burleson County, TX",NA
"TX_county",27,"Burnet County, TX",NA
"TX_county",28,"Caldwell County, TX",NA
"TX_county",29,"Calhoun County, TX",NA
"TX_county",30,"Callahan County, TX",NA
"TX_county",31,"Cameron County, TX",NA
"TX_county",32,"Camp County, TX",NA
"TX_county",33,"Carson County, TX",NA
"TX_county",34,"Cass County, TX",NA
"TX_county",35,"Castro County, TX",NA
"TX_county",36,"Chambers County, TX",NA
"TX_county",37,"Cherokee County, TX",NA
"TX_county",38,"Childress County, TX",NA
"TX_county",39,"Clay County, TX",NA
"TX_county",40,"Cochran County, TX",NA
"TX_county",41,"Coke County, TX",NA
"TX_county",42,"Coleman County, TX",NA
"TX_county",43,"Collin County, TX",NA
"TX_county",44,"Collingsworth County, TX",NA
"TX_county",45,"Colorado County, TX",NA
"TX_county",46,"Comal County, TX",NA
"TX_county",47,"Comanche County, TX",NA
"TX_county",48,"Concho County, TX",NA
"TX_county",49,"Cooke County, TX",NA
"TX_county",50,"Coryell County, TX",NA
"TX_county",51,"Cottle County, TX",NA
"TX_county",52,"Crane County, TX",NA
"TX_county",53,"Crockett County, TX",NA
"TX_county",54,"Crosby County, TX",NA
"TX_county",55,"Culberson County, TX",NA
"TX_county",56,"Dallam County, TX",NA
"TX_county",57,"Dallas County, TX",NA
"TX_county",58,"Dawson County, TX",NA
"TX_county",59,"Deaf Smith County, TX",NA
"TX_county",60,"Delta County, TX",NA
"TX_county",61,"Denton County, TX",NA
"TX_county",62,"DeWitt County, TX",NA
"TX_county",63,"Dickens County, TX",NA
"TX_county",64,"Dimmit County, TX",NA
"TX_county",65,"Donley County, TX",NA
"TX_county",66,"Duval County, TX",NA
"TX_county",67,"Eastland County, TX",NA
"TX_county",68,"Ector County, TX",NA
"TX_county",69,"Edwards County, TX",NA
"TX_county",70,"El Paso County, TX",NA
"TX_county",71,"Ellis County, TX",NA
"TX_county",72,"Erath County, TX",NA
"TX_county",73,"Falls County, TX",NA
"TX_county",74,"Fannin County, TX",NA
"TX_county",75,"Fayette County, TX",NA
"TX_county",76,"Fisher County, TX",NA
"TX_county",77,"Floyd County, TX",NA
"TX_county",78,"Foard County, TX",NA
"TX_county",79,"Fort Bend County, TX",NA
"TX_county",80,"Franklin County, TX",NA
"TX_county",81,"Freestone County, TX",NA
"TX_county",82,"Frio County, TX",NA
"TX_county",83,"Gaines County, TX",NA
"TX_county",84,"Galveston County, TX",NA
"TX_county",85,"Garza County, TX",NA
"TX_county",86,"Gillespie County, TX",NA
"TX_county",87,"Glasscock County, TX",NA
"TX_county",88,"Goliad County, TX",NA
"TX_county",89,"Gonzales County, TX",NA
"TX_county",90,"Gray County, TX",NA
"TX_county",91,"Grayson County, TX",NA
"TX_county",92,"Gregg County, TX",NA
"TX_county",93,"Grimes County, TX",NA
"TX_county",94,"Guadalupe County, TX",NA
"TX_county",95,"Hale County, TX",NA
"TX_county",96,"Hall County, TX",NA
"TX_county",97,"Hamilton County, TX",NA
"TX_county",98,"Hansford County, TX",NA
"TX_county",99,"Hardeman County, TX",NA
"TX_county",100,"Hardin County, TX",NA
"TX_county",101,"Harris County, TX",NA
"TX_county",102,"Harrison County, TX",NA
"TX_county",103,"Hartley County, TX",NA
"TX_county",104,"Haskell County, TX",NA
"TX_county",105,"Hays County, TX",NA
"TX_county",106,"Hemphill County, TX",NA
"TX_county",107,"Henderson County, TX",NA
"TX_county",108,"Hidalgo County, TX",NA
"TX_county",109,"Hill County, TX",NA
"TX_county",110,"Hockley County, TX",NA
"TX_county",111,"Hood County, TX",NA
"TX_county",112,"Hopkins County, TX",NA
"TX_county",113,"Houston County, TX",NA
"TX_county",114,"Howard County, TX",NA
"TX_county",115,"Hudspeth County, TX",NA
"TX_county",116,"Hunt County, TX",NA
"TX_county",117,"Hutchinson County, TX",NA
"TX_county",118,"Irion County, TX",NA
"TX_county",119,"Jack County, TX",NA
"TX_county",120,"Jackson County, TX",NA
"TX_county",121,"Jasper County, TX",NA
"TX_county",122,"Jeff Davis County, TX",NA
"TX_county",123,"Jefferson County, TX",NA
"TX_county",124,"Jim Hogg County, TX",NA
"TX_county",125,"Jim Wells County, TX",NA
"TX_county",126,"Johnson County, TX",NA
"TX_county",127,"Jones County, TX",NA
"TX_county",128,"Karnes County, TX",NA
"TX_county",129,"Kaufman County, TX",NA
"TX_county",130,"Kendall County, TX",NA
"TX_county",131,"Kenedy County, TX",NA
"TX_county",132,"Kent County, TX",NA
"TX_county",133,"Kerr County, TX",NA
"TX_county",134,"Kimble County, TX",NA
"TX_county",135,"King County, TX",NA
"TX_county",136,"Kinney County, TX",NA
"TX_county",137,"Kleberg County, TX",NA
"TX_county",138,"Knox County, TX",NA
"TX_county",139,"Lamar County, TX",NA
"TX_county",140,"Lamb County, TX",NA
"TX_county",141,"Lampasas County, TX",NA
"TX_county",142,"LaSalle County, TX",NA
"TX_county",143,"Lavaca County, TX",NA
"TX_county",144,"Lee County, TX",NA
"TX_county",145,"Leon County, TX",NA
"TX_county",146,"Liberty County, TX",NA
"TX_county",147,"Limestone County, TX",NA
"TX_county",148,"Lipscomb County, TX",NA
"TX_county",149,"Live Oak County, TX",NA
"TX_county",150,"Llano County, TX",NA
"TX_county",151,"Loving County, TX",NA
"TX_county",152,"Lubbock County, TX",NA
"TX_county",153,"Lynn County, TX",NA
"TX_county",154,"Madison County, TX",NA
"TX_county",155,"Marion County, TX",NA
"TX_county",156,"Martin County, TX",NA
"TX_county",157,"Mason County, TX",NA
"TX_county",158,"Matagorda County, TX",NA
"TX_county",159,"Maverick County, TX",NA
"TX_county",160,"McCulloch County, TX",NA
"TX_county",161,"McLennan County, TX",NA
"TX_county",162,"McMullen County, TX",NA
"TX_county",163,"Medina County, TX",NA
"TX_county",164,"Menard County, TX",NA
"TX_county",165,"Midland County, TX",NA
"TX_county",166,"Milam County, TX",NA
"TX_county",167,"Mills County, TX",NA
"TX_county",168,"Mitchell County, TX",NA
"TX_county",169,"Montague County, TX",NA
"TX_county",170,"Montgomery County, TX",NA
"TX_county",171,"Moore County, TX",NA
"TX_county",172,"Morris County, TX",NA
"TX_county",173,"Motley County, TX",NA
"TX_county",174,"Nacogdoches County, TX",NA
"TX_county",175,"Navarro County, TX",NA
"TX_county",176,"Newton County, TX",NA
"TX_county",177,"Nolan County, TX",NA
"TX_county",178,"Nueces County, TX",NA
"TX_county",179,"Ochiltree County, TX",NA
"TX_county",180,"Oldham County, TX",NA
"TX_county",181,"Orange County, TX",NA
"TX_county",182,"Palo Pinto County, TX",NA
"TX_county",183,"Panola County, TX",NA
"TX_county",184,"Parker County, TX",NA
"TX_county",185,"Parmer County, TX",NA
"TX_county",186,"Pecos County, TX",NA
"TX_county",187,"Polk County, TX",NA
"TX_county",188,"Potter County, TX",NA
"TX_county",189,"Presidio County, TX",NA
"TX_county",190,"Rains County, TX",NA
"TX_county",191,"Randall County, TX",NA
"TX_county",192,"Reagan County, TX",NA
"TX_county",193,"Real County, TX",NA
"TX_county",194,"Red River County, TX",NA
"TX_county",195,"Reeves County, TX",NA
"TX_county",196,"Refugio County, TX",NA
"TX_county",197,"Roberts County, TX",NA
"TX_county",198,"Robertson County, TX",NA
"TX_county",199,"Rockwall County, TX",NA
"TX_county",200,"Runnels County, TX",NA
"TX_county",201,"Rusk County, TX",NA
"TX_county",202,"Sabine County, TX",NA
"TX_county",203,"San Augustine County, TX",NA
"TX_county",204,"San Jacinto County, TX",NA
"TX_county",205,"San Patricio County, TX",NA
"TX_county",206,"San Saba County, TX",NA
"TX_county",207,"Schleicher County, TX",NA
"TX_county",208,"Scurry County, TX",NA
"TX_county",209,"Shackelford County, TX",NA
"TX_county",210,"Shelby County, TX",NA
"TX_county",211,"Sherman County, TX",NA
"TX_county",212,"Smith County, TX",NA
"TX_county",213,"Somervell County, TX",NA
"TX_county",214,"Starr County, TX",NA
"TX_county",215,"Stephens County, TX",NA
"TX_county",216,"Sterling County, TX",NA
"TX_county",217,"Stonewall County, TX",NA
