"var_name","scale_prefix","item_suffix","var_class","item_type","ori_name"
"userid","userid",NA,"character","metadata","userid"
"prolific_id","prolific","id","character","metadata","Prolific_ID"
"id_check","id","check","character","metadata","ID_check"
"progress","progress",NA,"integer","metadata","Progress"
"duration__in_seconds_","duration","_in_seconds_","integer","subscale","Duration__in_seconds_"
"recordeddate","recordeddate",NA,"character","metadata","RecordedDate"
"responseid","responseid",NA,"character","metadata","ResponseId"
"externalreference","externalreference",NA,"logical","metadata","ExternalReference"
"consent_confirm","consent","confirm","integer","metadata","Consent_confirm"
"consent_no","consent","no","logical","metadata","Consent_no"
"recording_test","recording","test","integer","metadata","Recording_test"
"state","state",NA,"factor","location","state"
"county","county",NA,"factor","location","county"
"ak_county","ak","county","factor","location","AK_county"
"tx_county","tx","county","factor","location","TX_county"
"id_county","id","county","factor","location","ID_county"
"ia_county","ia","county","factor","location","IA_county"
"nc_county","nc","county","factor","location","NC_county"
"in_county","in","county","factor","location","IN_county"
"ky_county","ky","county","factor","location","KY_county"
"wi_county","wi","county","factor","location","WI_county"
"wa_county","wa","county","factor","location","WA_county"
"demo_gender","demo","gender","factor","demo","Demo_gender"
"demo_age_int","demo","age_int","integer","demo","Demo_age_int"
"demo_age_house_01","demo","age_house_01","factor","demo_raw","Demo_age_house_1"
"demo_age_house_02","demo","age_house_02","factor","demo_raw","Demo_age_house_2"
"demo_age_house_03","demo","age_house_03","factor","demo_raw","Demo_age_house_3"
"demo_age_house_04","demo","age_house_04","factor","demo_raw","Demo_age_house_4"
"demo_age_house_05","demo","age_house_05","factor","demo_raw","Demo_age_house_5"
"demo_ethnicity_01","demo","ethnicity_01","factor","demo_raw","Demo_ethnicity_1"
"demo_ethnicity_02","demo","ethnicity_02","factor","demo_raw","Demo_ethnicity_2"
"demo_ethnicity_03","demo","ethnicity_03","factor","demo_raw","Demo_ethnicity_3"
"demo_ethnicity_04","demo","ethnicity_04","factor","demo_raw","Demo_ethnicity_4"
"demo_ethnicity_05","demo","ethnicity_05","factor","demo_raw","Demo_ethnicity_5"
"demo_ethnicity_06","demo","ethnicity_06","factor","demo_raw","Demo_ethnicity_6"
"demo_ethnicity_07","demo","ethnicity_07","factor","demo_raw","Demo_ethnicity_7"
"demo_ethnicity__99","demo","ethnicity__99","logical","demo_raw","Demo_ethnicity__99"
"demo_education","demo","education","factor","demo","Demo_education"
"demo_marital","demo","marital","factor","demo","Demo_marital"
"demo_income","demo","income","factor","demo","Demo_income"
"demo_employment","demo","employment","factor","demo","Demo_employment"
"demo_healthcare","demo","healthcare","factor","demo","Demo_healthcare"
"qol_01","qol","01","integer","item","QOL_1"
"qol_01_prompt","qol","01_prompt","factor","item","QOL_1_prompt"
"qol_02","qol","02","integer","item","QOL_2"
